"indicateur","sexe","région","diplôme","groupe-d-age","Unit","Date","Value"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Total","Non concerné","BAC","Non concerné","Nombre","2021","526"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Total","Non concerné","BAC","Non concerné","Nombre","2022","597"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Total","Non concerné","DUT","Non concerné","Nombre","2017","64"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Total","Non concerné","DUT","Non concerné","Nombre","2018","64"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Total","Non concerné","DUT","Non concerné","Nombre","2019","76"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Total","Non concerné","DUT","Non concerné","Nombre","2020","36"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Total","Non concerné","DUT","Non concerné","Nombre","2021","81"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Total","Non concerné","DUT","Non concerné","Nombre","2022","66"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Total","Non concerné","BTS","Non concerné","Nombre","2017","1148"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Total","Non concerné","BTS","Non concerné","Nombre","2018","1485"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Total","Non concerné","BTS","Non concerné","Nombre","2019","1614"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Total","Non concerné","BTS","Non concerné","Nombre","2020","980"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Total","Non concerné","BTS","Non concerné","Nombre","2021","1575"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Total","Non concerné","BTS","Non concerné","Nombre","2022","2057"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Total","Non concerné","DEUG","Non concerné","Nombre","2017","594"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Total","Non concerné","DEUG","Non concerné","Nombre","2018","969"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Total","Non concerné","DEUG","Non concerné","Nombre","2019","374"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Total","Non concerné","DEUG","Non concerné","Nombre","2020","218"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Total","Non concerné","DEUG","Non concerné","Nombre","2021","218"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Total","Non concerné","DEUG","Non concerné","Nombre","2022","197"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Total","Non concerné","Licence","Non concerné","Nombre","2017","176"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Total","Non concerné","Licence","Non concerné","Nombre","2018","230"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Total","Non concerné","Licence","Non concerné","Nombre","2019","310"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Total","Non concerné","Licence","Non concerné","Nombre","2020","157"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Total","Non concerné","Licence","Non concerné","Nombre","2021","177"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Total","Non concerné","Licence","Non concerné","Nombre","2022","300"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Total","Non concerné","Maîtrise","Non concerné","Nombre","2017","17163"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Total","Non concerné","Maîtrise","Non concerné","Nombre","2018","16619"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Total","Non concerné","Maîtrise","Non concerné","Nombre","2019","14735"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Total","Non concerné","Maîtrise","Non concerné","Nombre","2020","7748"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Total","Non concerné","Maîtrise","Non concerné","Nombre","2021","13149"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Total","Non concerné","Maîtrise","Non concerné","Nombre","2022","14010"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Masculin","Non concerné","Sans diplôme","Non concerné","Nombre","2017","1573"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Masculin","Non concerné","Sans diplôme","Non concerné","Nombre","2018","792"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Masculin","Non concerné","Sans diplôme","Non concerné","Nombre","2019","556"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Masculin","Non concerné","Sans diplôme","Non concerné","Nombre","2020","401"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Masculin","Non concerné","Sans diplôme","Non concerné","Nombre","2021","362"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Masculin","Non concerné","Sans diplôme","Non concerné","Nombre","2022","612"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Masculin","Non concerné","CEP","Non concerné","Nombre","2017","1762"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Masculin","Non concerné","CEP","Non concerné","Nombre","2018","1354"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Masculin","Non concerné","CEP","Non concerné","Nombre","2019","1035"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Masculin","Non concerné","CEP","Non concerné","Nombre","2020","617"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Masculin","Non concerné","CEP","Non concerné","Nombre","2021","543"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Masculin","Non concerné","CEP","Non concerné","Nombre","2022","880"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Masculin","Non concerné","CAP","Non concerné","Nombre","2017","198"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Masculin","Non concerné","CAP","Non concerné","Nombre","2018","174"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Masculin","Non concerné","CAP","Non concerné","Nombre","2019","245"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Masculin","Non concerné","CAP","Non concerné","Nombre","2020","111"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Masculin","Non concerné","CAP","Non concerné","Nombre","2021","175"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Masculin","Non concerné","CAP","Non concerné","Nombre","2022","270"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Masculin","Non concerné","CQP","Non concerné","Nombre","2017","338"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Masculin","Non concerné","CQP","Non concerné","Nombre","2018","270"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Masculin","Non concerné","CQP","Non concerné","Nombre","2019","363"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Masculin","Non concerné","CQP","Non concerné","Nombre","2020","200"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Masculin","Non concerné","CQP","Non concerné","Nombre","2021","313"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Masculin","Non concerné","CQP","Non concerné","Nombre","2022","340"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Masculin","Non concerné","BQP","Non concerné","Nombre","2017","2367"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Masculin","Non concerné","BQP","Non concerné","Nombre","2018","1653"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Masculin","Non concerné","BQP","Non concerné","Nombre","2019","1653"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Masculin","Non concerné","BQP","Non concerné","Nombre","2020","977"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Masculin","Non concerné","BQP","Non concerné","Nombre","2021","1363"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Masculin","Non concerné","BQP","Non concerné","Nombre","2022","1404"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Masculin","Non concerné","BEPC","Non concerné","Nombre","2017","293"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Masculin","Non concerné","BEPC","Non concerné","Nombre","2018","386"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Masculin","Non concerné","BEPC","Non concerné","Nombre","2019","636"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Masculin","Non concerné","BEPC","Non concerné","Nombre","2020","394"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Masculin","Non concerné","BEPC","Non concerné","Nombre","2021","407"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Masculin","Non concerné","BEPC","Non concerné","Nombre","2022","564"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Masculin","Non concerné","BEP","Non concerné","Nombre","2017","2913"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Masculin","Non concerné","BEP","Non concerné","Nombre","2018","2453"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Masculin","Non concerné","BEP","Non concerné","Nombre","2019","2244"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Masculin","Non concerné","BEP","Non concerné","Nombre","2020","1285"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Masculin","Non concerné","BEP","Non concerné","Nombre","2021","2403"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Masculin","Non concerné","BEP","Non concerné","Nombre","2022","2120"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Masculin","Non concerné","BAC","Non concerné","Nombre","2017","283"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Masculin","Non concerné","BAC","Non concerné","Nombre","2018","274"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Masculin","Non concerné","BAC","Non concerné","Nombre","2019","356"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Masculin","Non concerné","BAC","Non concerné","Nombre","2020","157"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Masculin","Non concerné","BAC","Non concerné","Nombre","2021","253"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Masculin","Non concerné","BAC","Non concerné","Nombre","2022","309"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Masculin","Non concerné","DUT","Non concerné","Nombre","2017","40"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Masculin","Non concerné","DUT","Non concerné","Nombre","2018","39"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Masculin","Non concerné","DUT","Non concerné","Nombre","2019","50"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Masculin","Non concerné","DUT","Non concerné","Nombre","2020","21"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Masculin","Non concerné","DUT","Non concerné","Nombre","2021","38"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Masculin","Non concerné","DUT","Non concerné","Nombre","2022","33"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Masculin","Non concerné","BTS","Non concerné","Nombre","2017","662"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Masculin","Non concerné","BTS","Non concerné","Nombre","2018","706"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Masculin","Non concerné","BTS","Non concerné","Nombre","2019","885"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Masculin","Non concerné","BTS","Non concerné","Nombre","2020","525"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Masculin","Non concerné","BTS","Non concerné","Nombre","2021","851"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Masculin","Non concerné","BTS","Non concerné","Nombre","2022","1022"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Masculin","Non concerné","DEUG","Non concerné","Nombre","2017","381"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Masculin","Non concerné","DEUG","Non concerné","Nombre","2018","536"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Masculin","Non concerné","DEUG","Non concerné","Nombre","2019","223"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Masculin","Non concerné","DEUG","Non concerné","Nombre","2020","130"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Masculin","Non concerné","DEUG","Non concerné","Nombre","2021","107"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Masculin","Non concerné","DEUG","Non concerné","Nombre","2022","101"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Masculin","Non concerné","Licence","Non concerné","Nombre","2017","113"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Masculin","Non concerné","Licence","Non concerné","Nombre","2018","132"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Masculin","Non concerné","Licence","Non concerné","Nombre","2019","204"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Masculin","Non concerné","Licence","Non concerné","Nombre","2020","93"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Masculin","Non concerné","Licence","Non concerné","Nombre","2021","108"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Masculin","Non concerné","Licence","Non concerné","Nombre","2022","177"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Masculin","Non concerné","Maîtrise","Non concerné","Nombre","2017","10923"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Masculin","Non concerné","Maîtrise","Non concerné","Nombre","2018","8769"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Masculin","Non concerné","Maîtrise","Non concerné","Nombre","2019","8450"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Masculin","Non concerné","Maîtrise","Non concerné","Nombre","2020","3936"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Masculin","Non concerné","Maîtrise","Non concerné","Nombre","2021","6923"
"Effectif des demandeurs d’emploi  enregistrés à l'ANPE selon le diplôme/titre de qualification et le sexe","Masculin","Non concerné","Maîtrise","Non concerné","Nombre","2022","7832"
"Nombre de postes d'emplois publiés sur le site de l’ONEF selon la région d'affectation","Total","Ensemble","Non concerné","Non concerné","Nombre","2017","15482"
"Nombre de postes d'emplois publiés sur le site de l’ONEF selon la région d'affectation","Total","Ensemble","Non concerné","Non concerné","Nombre","2018","6497"
"Nombre de postes d'emplois publiés sur le site de l’ONEF selon la région d'affectation","Total","Ensemble","Non concerné","Non concerné","Nombre","2019","35097"
"Nombre de postes d'emplois publiés sur le site de l’ONEF selon la région d'affectation","Total","Ensemble","Non concerné","Non concerné","Nombre","2020","13605"
"Nombre de postes d'emplois publiés sur le site de l’ONEF selon la région d'affectation","Total","Ensemble","Non concerné","Non concerné","Nombre","2021","10139"
"Nombre de postes d'emplois publiés sur le site de l’ONEF selon la région d'affectation","Total","Ensemble","Non concerné","Non concerné","Nombre","2022","11204"
"Nombre de postes d'emplois publiés sur le site de l’ONEF selon la région d'affectation","Total","Ensemble","Non concerné","Non concerné","Nombre","2017","9248"
"Nombre de postes d'emplois publiés sur le site de l’ONEF selon la région d'affectation","Total","Ensemble","Non concerné","Non concerné","Nombre","2018","4640"
"Nombre de postes d'emplois publiés sur le site de l’ONEF selon la région d'affectation","Total","Ensemble","Non concerné","Non concerné","Nombre","2019","35012"
"Nombre de postes d'emplois publiés sur le site de l’ONEF selon la région d'affectation","Total","Ensemble","Non concerné","Non concerné","Nombre","2020","4068"
"Nombre de postes d'emplois publiés sur le site de l’ONEF selon la région d'affectation","Total","Ensemble","Non concerné","Non concerné","Nombre","2021","5860"
"Nombre de postes d'emplois publiés sur le site de l’ONEF selon la région d'affectation","Total","Ensemble","Non concerné","Non concerné","Nombre","2022","8173"
"Nombre de postes d'emplois publiés sur le site de l’ONEF selon la région d'affectation","Total","Boucle du Mouhoun","Non concerné","Non concerné","Nombre","2017","253"
"Nombre de postes d'emplois publiés sur le site de l’ONEF selon la région d'affectation","Total","Boucle du Mouhoun","Non concerné","Non concerné","Nombre","2018","88"
"Nombre de postes d'emplois publiés sur le site de l’ONEF selon la région d'affectation","Total","Boucle du Mouhoun","Non concerné","Non concerné","Nombre","2019","81"
"Nombre de postes d'emplois publiés sur le site de l’ONEF selon la région d'affectation","Total","Boucle du Mouhoun","Non concerné","Non concerné","Nombre","2020","434"
"Nombre de postes d'emplois publiés sur le site de l’ONEF selon la région d'affectation","Total","Boucle du Mouhoun","Non concerné","Non concerné","Nombre","2021","51"
"Nombre de postes d'emplois publiés sur le site de l’ONEF selon la région d'affectation","Total","Boucle du Mouhoun","Non concerné","Non concerné","Nombre","2022","49"
"Nombre de postes d'emplois publiés sur le site de l’ONEF selon la région d'affectation","Total","Cascades","Non concerné","Non concerné","Nombre","2017","141"
"Nombre de postes d'emplois publiés sur le site de l’ONEF selon la région d'affectation","Total","Cascades","Non concerné","Non concerné","Nombre","2018","97"
"Nombre de postes d'emplois publiés sur le site de l’ONEF selon la région d'affectation","Total","Cascades","Non concerné","Non concerné","Nombre","2019","17"
"Nombre de postes d'emplois publiés sur le site de l’ONEF selon la région d'affectation","Total","Cascades","Non concerné","Non concerné","Nombre","2020","184"
"Nombre de postes d'emplois publiés sur le site de l’ONEF selon la région d'affectation","Total","Cascades","Non concerné","Non concerné","Nombre","2021","24"
"Nombre de postes d'emplois publiés sur le site de l’ONEF selon la région d'affectation","Total","Cascades","Non concerné","Non concerné","Nombre","2022","13"
"Nombre de postes d'emplois publiés sur le site de l’ONEF selon la région d'affectation","Total","Centre","Non concerné","Non concerné","Nombre","2017","4988"
"Nombre de postes d'emplois publiés sur le site de l’ONEF selon la région d'affectation","Total","Centre","Non concerné","Non concerné","Nombre","2018","3147"
"Nombre de postes d'emplois publiés sur le site de l’ONEF selon la région d'affectation","Total","Centre","Non concerné","Non concerné","Nombre","2019","33775"
"Nombre de postes d'emplois publiés sur le site de l’ONEF selon la région d'affectation","Total","Centre","Non concerné","Non concerné","Nombre","2020","4377"
"Nombre de postes d'emplois publiés sur le site de l’ONEF selon la région d'affectation","Total","Centre","Non concerné","Non concerné","Nombre","2021","2597"
"Nombre de postes d'emplois publiés sur le site de l’ONEF selon la région d'affectation","Total","Centre","Non concerné","Non concerné","Nombre","2022","1839"
"Nombre de postes d'emplois publiés sur le site de l’ONEF selon la région d'affectation","Total","Centre-Est","Non concerné","Non concerné","Nombre","2017","21"
"Nombre de postes d'emplois publiés sur le site de l’ONEF selon la région d'affectation","Total","Centre-Est","Non concerné","Non concerné","Nombre","2018","79"
"Nombre de postes d'emplois publiés sur le site de l’ONEF selon la région d'affectation","Total","Centre-Est","Non concerné","Non concerné","Nombre","2019","56"
"Nombre de postes d'emplois publiés sur le site de l’ONEF selon la région d'affectation","Total","Centre-Est","Non concerné","Non concerné","Nombre","2020","393"
"Nombre de postes d'emplois publiés sur le site de l’ONEF selon la région d'affectation","Total","Centre-Est","Non concerné","Non concerné","Nombre","2021","58"
"Nombre de postes d'emplois publiés sur le site de l’ONEF selon la région d'affectation","Total","Centre-Est","Non concerné","Non concerné","Nombre","2022","37"
"Nombre de postes d'emplois publiés sur le site de l’ONEF selon la région d'affectation","Total","Centre-Nord","Non concerné","Non concerné","Nombre","2017","167"
"Nombre de postes d'emplois publiés sur le site de l’ONEF selon la région d'affectation","Total","Centre-Nord","Non concerné","Non concerné","Nombre","2018","63"
"Nombre de postes d'emplois publiés sur le site de l’ONEF selon la région d'affectation","Total","Centre-Nord","Non concerné","Non concerné","Nombre","2019","137"
"Nombre de postes d'emplois publiés sur le site de l’ONEF selon la région d'affectation","Total","Centre-Nord","Non concerné","Non concerné","Nombre","2020","433"
"Nombre de postes d'emplois publiés sur le site de l’ONEF selon la région d'affectation","Total","Centre-Nord","Non concerné","Non concerné","Nombre","2021","273"
"Nombre de postes d'emplois publiés sur le site de l’ONEF selon la région d'affectation","Total","Centre-Nord","Non concerné","Non concerné","Nombre","2022","242"
"Nombre de postes d'emplois publiés sur le site de l’ONEF selon la région d'affectation","Total","Centre-Ouest","Non concerné","Non concerné","Nombre","2017","213"
"Nombre de postes d'emplois publiés sur le site de l’ONEF selon la région d'affectation","Total","Centre-Ouest","Non concerné","Non concerné","Nombre","2018","41"
"Nombre de postes d'emplois publiés sur le site de l’ONEF selon la région d'affectation","Total","Centre-Ouest","Non concerné","Non concerné","Nombre","2019","93"
"Nombre de postes d'emplois publiés sur le site de l’ONEF selon la région d'affectation","Total","Centre-Ouest","Non concerné","Non concerné","Nombre","2020","263"
"Nombre de postes d'emplois publiés sur le site de l’ONEF selon la région d'affectation","Total","Centre-Ouest","Non concerné","Non concerné","Nombre","2021","52"
"Nombre de postes d'emplois publiés sur le site de l’ONEF selon la région d'affectation","Total","Centre-Ouest","Non concerné","Non concerné","Nombre","2022","21"
"Nombre de postes d'emplois publiés sur le site de l’ONEF selon la région d'affectation","Total","Centre-Sud","Non concerné","Non concerné","Nombre","2017","132"
"Nombre de postes d'emplois publiés sur le site de l’ONEF selon la région d'affectation","Total","Centre-Sud","Non concerné","Non concerné","Nombre","2018","22"
"Nombre de postes d'emplois publiés sur le site de l’ONEF selon la région d'affectation","Total","Centre-Sud","Non concerné","Non concerné","Nombre","2019","19"
"Nombre de postes d'emplois publiés sur le site de l’ONEF selon la région d'affectation","Total","Centre-Sud","Non concerné","Non concerné","Nombre","2020","190"
"Nombre de postes d'emplois publiés sur le site de l’ONEF selon la région d'affectation","Total","Centre-Sud","Non concerné","Non concerné","Nombre","2021","11"
"Nombre de postes d'emplois publiés sur le site de l’ONEF selon la région d'affectation","Total","Centre-Sud","Non concerné","Non concerné","Nombre","2022","7"
"Nombre de postes d'emplois publiés sur le site de l’ONEF selon la région d'affectation","Total","Est","Non concerné","Non concerné","Nombre","2017","324"
"Nombre de postes d'emplois publiés sur le site de l’ONEF selon la région d'affectation","Total","Est","Non concerné","Non concerné","Nombre","2018","130"
"Nombre de postes d'emplois publiés sur le site de l’ONEF selon la région d'affectation","Total","Est","Non concerné","Non concerné","Nombre","2019","143"
"Nombre de postes d'emplois publiés sur le site de l’ONEF selon la région d'affectation","Total","Est","Non concerné","Non concerné","Nombre","2020","442"
"Nombre de postes d'emplois publiés sur le site de l’ONEF selon la région d'affectation","Total","Est","Non concerné","Non concerné","Nombre","2021","143"
"Nombre de postes d'emplois publiés sur le site de l’ONEF selon la région d'affectation","Total","Est","Non concerné","Non concerné","Nombre","2022","102"
"Nombre de postes d'emplois publiés sur le site de l’ONEF selon la région d'affectation","Total","Hauts-Bassins","Non concerné","Non concerné","Nombre","2017","1714"
"Nombre de postes d'emplois publiés sur le site de l’ONEF selon la région d'affectation","Total","Hauts-Bassins","Non concerné","Non concerné","Nombre","2018","595"
"Nombre de postes d'emplois publiés sur le site de l’ONEF selon la région d'affectation","Total","Hauts-Bassins","Non concerné","Non concerné","Nombre","2019","283"
"Nombre de postes d'emplois publiés sur le site de l’ONEF selon la région d'affectation","Total","Hauts-Bassins","Non concerné","Non concerné","Nombre","2020","1413"
"Nombre de postes d'emplois publiés sur le site de l’ONEF selon la région d'affectation","Total","Hauts-Bassins","Non concerné","Non concerné","Nombre","2021","605"
"Nombre de postes d'emplois publiés sur le site de l’ONEF selon la région d'affectation","Total","Hauts-Bassins","Non concerné","Non concerné","Nombre","2022","305"
"Nombre de postes d'emplois publiés sur le site de l’ONEF selon la région d'affectation","Total","Nord","Non concerné","Non concerné","Nombre","2017","745"
"Nombre de postes d'emplois publiés sur le site de l’ONEF selon la région d'affectation","Total","Nord","Non concerné","Non concerné","Nombre","2018","118"
"Nombre de postes d'emplois publiés sur le site de l’ONEF selon la région d'affectation","Total","Nord","Non concerné","Non concerné","Nombre","2019","130"
"Nombre de postes d'emplois publiés sur le site de l’ONEF selon la région d'affectation","Total","Nord","Non concerné","Non concerné","Nombre","2020","479"
"Nombre de postes d'emplois publiés sur le site de l’ONEF selon la région d'affectation","Total","Nord","Non concerné","Non concerné","Nombre","2021","178"
